name,peopleNumber,detailLink,publishTime,positionInfo,workLocation
OMG148-区域高级广告销售经理（成都）,,position_detail.php?id=43184&keywords=&tid=0&lid=0,,,
25927-高级测试开发工程师（深圳）,,position_detail.php?id=43173&keywords=&tid=0&lid=0,,,
22989-云服务开发工程师（NLP方向）（北京）,,position_detail.php?id=43175&keywords=&tid=0&lid=0,,,
SNG08-后台平台开发（深圳）,,position_detail.php?id=43177&keywords=&tid=0&lid=0,,,
18428-银行业务架构师,,position_detail.php?id=43166&keywords=&tid=0&lid=0,,,
22989-腾讯云高级数据分析师,,position_detail.php?id=43167&keywords=&tid=0&lid=0,,,
S2-高级税务管理经理（BG税管）,,position_detail.php?id=43170&keywords=&tid=0&lid=0,,,
15618-场景原画设计师（上海）,,position_detail.php?id=43159&keywords=&tid=0&lid=0,,,
15618-角色原画设计（上海）,,position_detail.php?id=43160&keywords=&tid=0&lid=0,,,
MIG06-Unity开发工程师（深圳）,,position_detail.php?id=43162&keywords=&tid=0&lid=0,,,
22025-沙盒资深3D关卡设计（深圳）,,position_detail.php?id=43152&keywords=&tid=0&lid=0,,,
22025-大世界沙盒游戏主美术（深圳）,,position_detail.php?id=43153&keywords=&tid=0&lid=0,,,
22025-沙盒游戏关卡策划（深圳）,,position_detail.php?id=43155&keywords=&tid=0&lid=0,,,
23675-战略规划经理（北京）,,position_detail.php?id=43156&keywords=&tid=0&lid=0,,,
OMG064-(高级)测试开发工程师（上海）,,position_detail.php?id=43147&keywords=&tid=0&lid=0,,,
22025-沙盒游戏资深3D动画特效设计（深圳）,,position_detail.php?id=43148&keywords=&tid=0&lid=0,,,
22025-沙盒游戏资深TA技术美术（深圳）,,position_detail.php?id=43150&keywords=&tid=0&lid=0,,,
SA-腾讯社交广告KA项目经理（深圳）,,position_detail.php?id=43142&keywords=&tid=0&lid=0,,,
25666-战略BD 行业 - 能源、政务、公检法、综合集成商方向（北京）,,position_detail.php?id=43144&keywords=&tid=0&lid=0,,,
OMG08-腾讯视频电视剧营销经理（北京）,,position_detail.php?id=43135&keywords=&tid=0&lid=0,,,
OMG-HRBP（腾讯大申网HRD）,,position_detail.php?id=43138&keywords=&tid=0&lid=0,,,
27559-大型多人竞技游戏社区与用户运营（深圳）,,position_detail.php?id=43127&keywords=&tid=0&lid=0,,,
